,name,start_pos,end_pos,tag,score
640,Tom,52454,52457,PERSON,1
641,Roger,52632,52637,PERSON,1
642,Tom,52735,52738,PERSON,1
643,"it,”said Roger",52750,52764,PERSON,1
644,"it,”supplied Astro",52963,52981,ORG,1
645,Tom,52999,53002,PERSON,1
646,later!”added Roger,53094,53112,ORG,1
647,Wallace,53133,53140,PERSON,1
648,Simms,53145,53150,PERSON,1
649,three,53165,53170,CARDINAL,1
650,Tom,53291,53294,PERSON,1
651,"Tom quietly,“notice",53387,53406,PERSON,1
652,Roger,53458,53463,PERSON,1
653,"Going out,”said Tom,“she",53467,53491,WORK_OF_ART,1
654,Roger,53669,53674,PERSON,1
655,Tom,53700,53703,PERSON,1
656,Tom,53784,53787,PERSON,1
657,the control board of,53827,53847,ORG,1
658,Polaris,53852,53859,PRODUCT,1
659,nine P. M.,53891,53901,MONEY,1
660,the night,54000,54009,TIME,1
661,Roger,54272,54277,PERSON,1
662,one,54375,54378,CARDINAL,1
663,Astro,54534,54539,ORG,1
664,Tom,54630,54633,PERSON,1
665,Roger,54638,54643,PERSON,1
666,three,54706,54711,CARDINAL,1
667,Astro,54815,54820,PERSON,1
668,"is,”sighed Astro,“they",55029,55051,LAW,1
669,Tom,55122,55125,PERSON,1
670,Earth,55406,55411,LOC,1
671,Mars,55413,55417,LOC,1
672,Venus,55419,55424,LOC,1
673,Titan,55426,55431,ORG,1
674,Ganymede,55433,55441,ORG,1
675,the grueling day,55546,55562,DATE,1
676,midnight,55640,55648,TIME,1
677,the last ten days,55724,55741,DATE,1
678,"to,”said Roger",55794,55808,PERSON,1
679,over a week,55870,55881,DATE,1
680,Astro,55998,56003,PRODUCT,1
681,Tom,56381,56384,PERSON,1
682,Strong,56506,56512,PERSON,1
683,Polaris,56535,56542,PRODUCT,1
684,twelve hours,56543,56555,TIME,1
685,all night,56577,56586,TIME,1
686,two,56602,56605,CARDINAL,1
687,Roger,56630,56635,PERSON,1
688,Astro,56640,56645,PERSON,1
689,"“O. K.,",56710,56717,PERSON,1
690,"Tom,“we",56724,56731,ORG,1
691,Venusport,56766,56775,GPE,1
692,Exposition,56891,56901,ORG,1
693,Mike Hawks,56915,56925,PERSON,1
694,Hawks,57019,57024,ORG,1
695,ninth,57095,57100,ORDINAL,1
696,Hawks,57177,57182,ORG,1
697,nine,57255,57259,CARDINAL,1
698,this morning,57428,57440,TIME,1
699,Hawks,57655,57660,ORG,1
700,first,57760,57765,ORDINAL,1
701,Hawks,57838,57843,ORG,1
702,thousands,58014,58023,CARDINAL,1
703,second,58268,58274,ORDINAL,1
704,Quis separabit,58305,58319,WORK_OF_ART,1
705,Hawks,58647,58652,ORG,1
706,"No,”replied the Solar Guard",58682,58709,WORK_OF_ART,1
707,Hawks,58870,58875,ORG,1
708,five,58997,59001,CARDINAL,1
709,Steve,59115,59120,PERSON,1
710,two,59128,59131,CARDINAL,1
711,Hawks,59296,59301,GPE,1
712,Solar Guard,59373,59384,ORG,1
713,Newton,59492,59498,PERSON,1
714,Claude,59507,59513,PERSON,1
715,"Strong, Hawks",59555,59568,ORG,1
716,Newton,59574,59580,ORG,1
717,Venus,59773,59778,EVENT,1
718,Lieutenant Claude,59865,59882,PERSON,1
719,"the University of Venus,”said Hawks",59891,59926,ORG,1
720,Claude,59981,59987,PERSON,1
721,Hawks,60097,60102,ORG,1
722,Venus,60222,60227,LOC,1
723,Fifteen minutes later,60255,60276,TIME,1
724,Hawks,60278,60283,ORG,1
725,more than three feet,60444,60464,QUANTITY,1
726,spacephone,60509,60519,GPE,1
727,one,60729,60732,CARDINAL,1
728,three,60736,60741,CARDINAL,1
729,One,60750,60753,CARDINAL,1
730,Two,60807,60810,CARDINAL,1
731,Venus,60838,60843,LOC,1
732,Jupiter,60852,60859,LOC,1
733,Jupiter,60881,60888,LOC,1
