,name,start_pos,end_pos,tag,score
320,"town,”he",35759,35767,PERSON,1
321,Rivington!”she,35832,35846,CARDINAL,1
322,Rivington,36143,36152,GPE,1
323,ten days,36153,36161,DATE,1
324,Howard,36195,36201,PERSON,1
325,one,36284,36287,CARDINAL,1
326,Honora,36349,36355,PERSON,1
327,Honora,36934,36940,PERSON,1
328,Saturday,37019,37027,DATE,1
329,Sunday,37032,37038,DATE,1
330,afternoons,37039,37049,TIME,1
331,the golf season,37102,37117,DATE,1
332,Silverdale,37151,37161,GPE,1
333,Sunday,37264,37270,DATE,1
334,a field day,37342,37353,DATE,1
335,Howard,37417,37423,PERSON,1
336,Rivington,37439,37448,GPE,1
337,Rivington,37581,37590,ORG,1
338,Honora,37758,37764,PERSON,1
339,Rivington,37852,37861,GPE,1
340,Christmas,38125,38134,DATE,1
341,Honora,38176,38182,PERSON,1
342,Rivington,38559,38568,ORG,1
343,Honora,38581,38587,PERSON,1
344,Honora,38688,38694,PERSON,1
345,Luncheon Club,38762,38775,ORG,1
346,six or eight,38872,38884,CARDINAL,1
347,New York City,38993,39006,GPE,1
348,as much as thirty thousand dollars,39112,39146,MONEY,1
349,Rivington,39196,39205,GPE,1
350,Honora,39232,39238,PERSON,1
351,two or three,39323,39335,CARDINAL,1
352,New York,39413,39421,GPE,1
353,Robert Browning,39519,39534,PERSON,1
354,Rivington,39924,39933,ORG,1
355,Honora,39950,39956,PERSON,1
356,Honora,39966,39972,PERSON,1
357,Honora,39988,39994,PERSON,1
358,Honora,40004,40010,PERSON,1
359,one,40247,40250,CARDINAL,1
360,Howard,40429,40435,PERSON,1
361,Sundays,40717,40724,DATE,1
362,the Rivington Golf Club,40728,40751,FAC,1
363,Honora,40869,40875,PERSON,1
364,Sidney Dallams,41232,41246,PERSON,1
365,one,41251,41254,CARDINAL,1
366,two,41258,41261,CARDINAL,1
367,Sunday,41307,41313,DATE,1
368,New York,41345,41353,GPE,1
369,Rivington,41355,41364,ORG,1
370,Holt,41373,41377,PERSON,1
371,Monday,41455,41461,DATE,1
372,mornings,41462,41470,TIME,1
373,Ethel Wing,41889,41899,PERSON,1
374,Maitland,42054,42062,PERSON,1
375,Hot Springs,42084,42095,FAC,1
376,Fifth Avenue,42125,42137,FAC,1
377,Brougham,42338,42346,PERSON,1
378,brougham,42353,42361,PRODUCT,1
379,victoria,42370,42378,PERSON,1
380,victoria,42385,42393,PERSON,1
381,two and three,42787,42800,DATE,1
382,Honora,43156,43162,PERSON,1
383,Lily Dallam,43195,43206,PERSON,1
384,New York,43312,43320,GPE,1
385,Clara Trowbridge,43535,43551,PERSON,1
386,Dallam,43596,43602,PERSON,1
387,Honora,43742,43748,PERSON,1
388,Lily,43806,43810,PERSON,1
389,Trixy Brent,43887,43898,PERSON,1
390,Lula Chandos,43909,43921,PERSON,1
391,the Horse Show,43933,43947,FAC,1
392,Lula,43953,43957,PERSON,1
393,Lily Dallam,44121,44132,PERSON,1
394,Lily,44463,44467,PERSON,1
395,Honora,44480,44486,PERSON,1
396,one,44580,44583,CARDINAL,1
397,hours,44912,44917,TIME,1
398,Lily Dallam,44959,44970,PERSON,1
399,Olympians,44990,44999,NORP,1
400,first,45032,45037,ORDINAL,1
401,Some two years,45078,45092,DATE,1
402,Honora,45099,45105,PERSON,1
403,Dallams,45122,45129,ORG,1
404,Quicksands,45181,45191,PERSON,1
405,Sidney Dallam,45274,45287,PERSON,1
406,the Quicksands Club,45403,45422,ORG,1
407,One,45424,45427,CARDINAL,1
408,Honora,45446,45452,PERSON,1
409,Trixton Brent,45494,45507,PERSON,1
410,Trixy,45529,45534,PERSON,1
411,"Honora,”Mrs",45536,45547,GPE,1
412,Dallam,45549,45555,PERSON,1
413,Time,45594,45598,ORG,1
414,Dallam,45625,45631,PERSON,1
415,Honora,45697,45703,PERSON,1
416,Howard,45708,45714,PERSON,1
417,Dallams,45745,45752,ORG,1
418,Lily Dallam,45806,45817,PERSON,1
419,Honora,45931,45937,PERSON,1
420,midnight,46073,46081,TIME,1
421,Rivington,46091,46100,GPE,1
422,Howard,46102,46108,PERSON,1
423,Howard,46335,46341,PERSON,1
424,Hydeville,46427,46436,ORG,1
425,Howard,46438,46444,PERSON,1
426,Trixton Brent,46453,46466,PERSON,1
427,one,46539,46542,CARDINAL,1
428,Lily,46546,46550,PERSON,1
429,Brent,46783,46788,PERSON,1
430,a million,46872,46881,CARDINAL,1
431,About forty-three,46924,46941,DATE,1
432,Honora,46970,46976,PERSON,1
433,Howard,47001,47007,PERSON,1
434,A few days later,47127,47143,DATE,1
435,Brent,47169,47174,PERSON,1
436,one,47196,47199,CARDINAL,1
437,Honora,47294,47300,PERSON,1
438,the day,47328,47335,DATE,1
439,Holt,47399,47403,PERSON,1
440,Madison Avenue,47475,47489,FAC,1
441,Mary,47504,47508,PERSON,1
442,Uncle Tom,47513,47522,PERSON,1
443,the day,47556,47563,DATE,1
444,Honora,47567,47573,PERSON,1
445,second,47852,47858,ORDINAL,1
446,Honora,48080,48086,PERSON,1
447,the Presbyterian Board of Missions,48173,48207,ORG,1
448,Holt,48258,48262,PERSON,1
449,two,48311,48314,CARDINAL,1
450,Honora,48394,48400,PERSON,1
451,Holt,48484,48488,PERSON,1
452,the Working Girl 's Relief Society,48523,48557,ORG,1
