,name,lemma,Type,Tag,Shape,Alpha,Stop
45027,pleasant,pleasant,ADJ,JJ,xxxx,True,False
45028,discussion,discussion,NOUN,NN,xxxx,True,False
45029,of,of,ADP,IN,xx,True,True
45030,the,the,DET,DT,xxx,True,True
45031,important,important,ADJ,JJ,xxxx,True,False
45032,question,question,NOUN,NN,xxxx,True,False
45033,whether,whether,SCONJ,IN,xxxx,True,True
45034,the,the,DET,DT,xxx,True,True
45035,pastor,pastor,NOUN,NN,xxxx,True,False
45036,'s,'s,PART,POS,'x,False,True
45037,wife,wife,NOUN,NN,xxxx,True,False
45038,",",",",PUNCT,",",",",False,False
45039,who,who,PRON,WP,xxx,True,True
45040,was,be,AUX,VBD,xxx,True,True
45041,detained,detain,VERB,VBN,xxxx,True,False
45042,at,at,ADP,IN,xx,True,True
45043,home,home,NOUN,NN,xxxx,True,False
45044,by,by,ADP,IN,xx,True,True
45045,illness,illness,NOUN,NN,xxxx,True,False
45046,",",",",PUNCT,",",",",False,False
45047,was,be,AUX,VBD,xxx,True,True
45048,really,really,ADV,RB,xxxx,True,True
45049,so,so,ADV,RB,xx,True,True
45050,extravagant,extravagant,ADJ,JJ,xxxx,True,False
45051,as,as,SCONJ,IN,xx,True,True
45052,to,to,PART,TO,xx,True,True
45053,use,use,VERB,VB,xxx,True,False
45054,granulated,granulated,ADJ,JJ,xxxx,True,False
45055,sugar,sugar,NOUN,NN,xxxx,True,False
45056,in,in,ADP,IN,xx,True,True
45057,her,-PRON-,DET,PRP$,xxx,True,True
45058,sweet,sweet,ADJ,JJ,xxxx,True,False
45059,pickles,pickle,NOUN,NNS,xxxx,True,False
45060,",",",",PUNCT,",",",",False,False
45061,as,as,SCONJ,IN,xx,True,True
45062,was,be,AUX,VBD,xxx,True,True
45063,positively,positively,ADV,RB,xxxx,True,False
45064,asserted,assert,VERB,VBN,xxxx,True,False
45065,by,by,ADP,IN,xx,True,True
45066,Miss,Miss,PROPN,NNP,Xxxx,True,False
45067,Araminta,Araminta,PROPN,NNP,Xxxxx,True,False
45068,Sharp,Sharp,PROPN,NNP,Xxxxx,True,False
45069,.,.,PUNCT,.,.,False,False
45070,The,the,DET,DT,Xxx,True,True
45071,secretary,secretary,NOUN,NN,xxxx,True,False
45072,read,read,VERB,VBD,xxxx,True,False
45073,the,the,DET,DT,xxx,True,True
45074,report,report,NOUN,NN,xxxx,True,False
45075,of,of,ADP,IN,xx,True,True
45076,the,the,DET,DT,xxx,True,True
45077,last,last,ADJ,JJ,xxxx,True,True
45078,meeting,meeting,NOUN,NN,xxxx,True,False
45079,",",",",PUNCT,",",",",False,False
45080,as,as,SCONJ,IN,xx,True,True
45081,follows,follow,VERB,VBZ,xxxx,True,False
45082,:,:,PUNCT,:,:,False,False
45083,—,—,PUNCT,:,—,False,False
45084,"","",SPACE,_SP,"",False,False
45085,“,"""",PUNCT,``,“,False,False
45086,Monday,Monday,PROPN,NNP,Xxxxx,True,False
45087,",",",",PUNCT,",",",",False,False
45088,April,April,PROPN,NNP,Xxxxx,True,False
45089,7,7,NUM,CD,d,False,False
45090,.,.,PUNCT,.,.,False,False
45091,—,—,PUNCT,:,—,False,False
45092,Meeting,meeting,NOUN,NN,Xxxxx,True,False
45093,called,call,VERB,VBD,xxxx,True,False
45094,to,to,PART,TO,xx,True,True
45095,order,order,VERB,VB,xxxx,True,False
45096,by,by,ADP,IN,xx,True,True
45097,the,the,DET,DT,xxx,True,True
45098,president,president,NOUN,NN,xxxx,True,False
45099,.,.,PUNCT,.,.,False,False
45100,The,the,DET,DT,Xxx,True,True
45101,records,record,NOUN,NNS,xxxx,True,False
45102,read,read,VERB,VBD,xxxx,True,False
45103,and,and,CCONJ,CC,xxx,True,True
45104,approved,approve,VERB,VBD,xxxx,True,False
45105,.,.,PUNCT,.,.,False,False
45106,There,there,PRON,EX,Xxxxx,True,True
45107,being,be,AUX,VBG,xxxx,True,True
45108,no,no,DET,DT,xx,True,True
45109,quorum,quorum,NOUN,NN,xxxx,True,False
45110,present,present,ADJ,JJ,xxxx,True,False
45111,",",",",PUNCT,",",",",False,False
45112,it,-PRON-,PRON,PRP,xx,True,True
45113,was,be,AUX,VBD,xxx,True,True
45114,unanimously,unanimously,ADV,RB,xxxx,True,False
45115,voted,vote,VERB,VBN,xxxx,True,False
45116,to,to,PART,TO,xx,True,True
45117,hold,hold,VERB,VB,xxxx,True,False
45118,the,the,DET,DT,xxx,True,True
45119,next,next,ADJ,JJ,xxxx,True,True
45120,meeting,meeting,NOUN,NN,xxxx,True,False
45121,on,on,ADP,IN,xx,True,True
45122,Thursday,Thursday,PROPN,NNP,Xxxxx,True,False
45123,",",",",PUNCT,",",",",False,False
45124,as,as,SCONJ,IN,xx,True,True
45125,that,that,DET,DT,xxxx,True,True
45126,day,day,NOUN,NN,xxx,True,False
45127,is,be,AUX,VBZ,xx,True,True
45128,more,more,ADV,RBR,xxxx,True,True
45129,convenient,convenient,ADJ,JJ,xxxx,True,False
45130,for,for,ADP,IN,xxx,True,True
45131,the,the,DET,DT,xxx,True,True
45132,ladies,lady,NOUN,NNS,xxxx,True,False
45133,.,.,PUNCT,.,.,False,False
45134,On,on,ADP,IN,Xx,True,True
45135,motion,motion,NOUN,NN,xxxx,True,False
45136,of,of,ADP,IN,xx,True,True
45137,Mrs.,Mrs.,PROPN,NNP,Xxx.,False,False
45138,Percy,Percy,PROPN,NNP,Xxxxx,True,False
45139,Browne,Browne,PROPN,NNP,Xxxxx,True,False
45140,",",",",PUNCT,",",",",False,False
45141,voted,vote,VERB,VBD,xxxx,True,False
45142,to,to,PART,TO,xx,True,True
45143,appoint,appoint,VERB,VB,xxxx,True,False
45144,a,a,DET,DT,x,True,True
45145,committee,committee,NOUN,NN,xxxx,True,False
45146,of,of,ADP,IN,xx,True,True
45147,one,one,NUM,CD,xxx,True,True
45148,to,to,PART,TO,xx,True,True
45149,take,take,VERB,VB,xxxx,True,True
45150,charge,charge,NOUN,NN,xxxx,True,False
45151,of,of,ADP,IN,xx,True,True
45152,the,the,DET,DT,xxx,True,True
45153,Art,Art,PROPN,NNP,Xxx,True,False
45154,Department,Department,PROPN,NNP,Xxxxx,True,False
45155,of,of,ADP,IN,xx,True,True
45156,the,the,DET,DT,xxx,True,True
45157,fair,fair,NOUN,NN,xxxx,True,False
45158,.,.,PUNCT,.,.,False,False
45159,Mrs.,Mrs.,PROPN,NNP,Xxx.,False,False
45160,Browne,Browne,PROPN,NNP,Xxxxx,True,False
45161,kindly,kindly,ADV,RB,xxxx,True,False
45162,volunteered,volunteer,VERB,VBD,xxxx,True,False
45163,to,to,PART,TO,xx,True,True
45164,serve,serve,VERB,VB,xxxx,True,False
45165,as,as,SCONJ,IN,xx,True,True
45166,that,that,DET,DT,xxxx,True,True
45167,committee,committee,NOUN,NN,xxxx,True,False
45168,.,.,PUNCT,.,.,False,False
45169,Adjourned,adjourn,VERB,VBN,Xxxxx,True,False
45170,.,.,PUNCT,.,.,False,False
45171,”,"""",PUNCT,'',”,False,False
45172,"","",SPACE,_SP,"",False,False
45173,The,the,DET,DT,Xxx,True,True
45174,records,record,NOUN,NNS,xxxx,True,False
45175,having,have,VERB,VBG,xxxx,True,False
45176,been,be,AUX,VBN,xxxx,True,True
45177,approved,approve,VERB,VBN,xxxx,True,False
45178,",",",",PUNCT,",",",",False,False
45179,the,the,DET,DT,xxx,True,True
45180,president,president,NOUN,NN,xxxx,True,False
45181,remarked,remark,VERB,VBD,xxxx,True,False
45182,that,that,SCONJ,IN,xxxx,True,True
45183,there,there,PRON,EX,xxxx,True,True
